driveline,hybrid,city.mpg,fuel.type,highway.mpg,class,make,year,horsepower,torque
All-wheel drive,TRUE,17,Gasoline,22,Automatic transmission,Volvo,2011,300,325
Front-wheel drive,TRUE,18,Gasoline,25,Automatic transmission,Volvo,2011,240,236
All-wheel drive,TRUE,20,Gasoline,26,Automatic transmission,Volvo,2010,227,236
Front-wheel drive,TRUE,21,Gasoline,30,Automatic transmission,Volvo,2011,227,236
All-wheel drive,TRUE,8,E85,14,Automatic transmission,Bentley,2012,567,516
All-wheel drive,TRUE,10,Gasoline,17,Automatic transmission,Bentley,2010,552,479
All-wheel drive,TRUE,10,Gasoline,17,Automatic transmission,Bentley,2010,600,553
Front-wheel drive,TRUE,24,Gasoline,35,Manual transmission,Ford,2010,140,136
Front-wheel drive,TRUE,24,Gasoline,34,Automatic transmission,Ford,2010,140,136
Front-wheel drive,TRUE,24,Gasoline,35,Manual transmission,Ford,2010,140,136
Front-wheel drive,TRUE,24,Gasoline,34,Automatic transmission,Ford,2010,140,136
All-wheel drive,TRUE,11,Gasoline,18,Automatic transmission,Bentley,2011,600,553
All-wheel drive,TRUE,10,Gasoline,17,Automatic transmission,Bentley,2010,600,553
All-wheel drive,TRUE,10,Gasoline,17,Automatic transmission,Bentley,2010,552,479
Rear-wheel drive,TRUE,9,Gasoline,15,Automatic transmission,Bentley,2010,500,738
Front-wheel drive,TRUE,28,Gasoline,35,Manual transmission,Toyota,2011,132,128
Front-wheel drive,TRUE,26,Gasoline,34,Automatic transmission,Toyota,2011,132,128
Front-wheel drive,TRUE,26,Gasoline,34,Automatic transmission,Toyota,2011,132,128
Front-wheel drive,TRUE,28,Gasoline,35,Manual transmission,Toyota,2011,132,128
Front-wheel drive,TRUE,26,Gasoline,34,Automatic transmission,Toyota,2011,132,128
Rear-wheel drive,TRUE,13,Gasoline,20,Automatic transmission,Rolls-Royce,2010,563,575
All-wheel drive,TRUE,21,Gasoline,29,Automatic transmission,Audi,2011,211,258
All-wheel drive,TRUE,20,Gasoline,26,Automatic transmission,Audi,2010,211,258
Rear-wheel drive,TRUE,11,Gasoline,18,Automatic transmission,Rolls-Royce,2010,453,531
Rear-wheel drive,TRUE,11,Gasoline,18,Automatic transmission,Rolls-Royce,2010,453,531
All-wheel drive,TRUE,21,Gasoline,31,Manual transmission,Audi,2012,211,258
All-wheel drive,TRUE,21,Gasoline,29,Automatic transmission,Audi,2012,211,258
Rear-wheel drive,TRUE,11,Gasoline,18,Automatic transmission,Rolls-Royce,2010,453,531
All-wheel drive,TRUE,21,Gasoline,29,Automatic transmission,Audi,2011,211,258
All-wheel drive,TRUE,21,Gasoline,31,Manual transmission,Audi,2011,211,258
All-wheel drive,TRUE,22,Gasoline,30,Manual transmission,Audi,2010,211,258
All-wheel drive,TRUE,18,Gasoline,27,Automatic transmission,Audi,2010,265,243
All-wheel drive,TRUE,21,Gasoline,27,Automatic transmission,Audi,2010,211,258
Rear-wheel drive,TRUE,11,Gasoline,18,Automatic transmission,Rolls-Royce,2010,453,531
Rear-wheel drive,TRUE,13,Gasoline,20,Automatic transmission,Rolls-Royce,2011,563,575
Front-wheel drive,TRUE,19,Gasoline,29,Automatic transmission,Honda,2010,271,254
Rear-wheel drive,TRUE,11,Gasoline,18,Automatic transmission,Rolls-Royce,2011,453,531
Front-wheel drive,TRUE,23,Gasoline,33,Manual transmission,Honda,2011,177,161
Front-wheel drive,TRUE,23,Gasoline,34,Automatic transmission,Honda,2011,177,161
Front-wheel drive,TRUE,23,Gasoline,34,Automatic transmission,Honda,2011,177,161
Front-wheel drive,TRUE,23,Gasoline,34,Automatic transmission,Honda,2011,177,161
Front-wheel drive,TRUE,23,Gasoline,33,Manual transmission,Honda,2011,190,162
Front-wheel drive,TRUE,23,Gasoline,34,Automatic transmission,Honda,2011,190,162
Front-wheel drive,TRUE,20,Gasoline,30,Automatic transmission,Honda,2011,271,254
Front-wheel drive,TRUE,23,Gasoline,34,Automatic transmission,Honda,2011,190,162
Front-wheel drive,TRUE,20,Gasoline,30,Automatic transmission,Honda,2011,271,254
Rear-wheel drive,TRUE,11,Gasoline,18,Automatic transmission,Rolls-Royce,2011,453,531
Rear-wheel drive,TRUE,11,Gasoline,18,Automatic transmission,Rolls-Royce,2011,453,531
Rear-wheel drive,TRUE,11,Gasoline,18,Automatic transmission,Rolls-Royce,2011,453,531
Front-wheel drive,TRUE,23,Gasoline,33,Manual transmission,Volkswagen,2011,170,177
Front-wheel drive,TRUE,24,Gasoline,31,Automatic transmission,Volkswagen,2011,170,177
Front-wheel drive,TRUE,23,Gasoline,29,Automatic transmission,Volkswagen,2011,115,125
Front-wheel drive,TRUE,23,Gasoline,29,Automatic transmission,Volkswagen,2011,115,125
Front-wheel drive,TRUE,24,Gasoline,31,Automatic transmission,Volkswagen,2011,170,177
Front-wheel drive,TRUE,24,Gasoline,31,Automatic transmission,Volkswagen,2011,170,177
Front-wheel drive,TRUE,24,Gasoline,34,Manual transmission,Volkswagen,2011,115,125
Front-wheel drive,TRUE,24,Gasoline,31,Automatic transmission,Volkswagen,2011,170,177
Front-wheel drive,TRUE,23,Gasoline,33,Manual transmission,Volkswagen,2011,170,177
Front-wheel drive,TRUE,23,Gasoline,33,Manual transmission,Volkswagen,2011,170,177
Front-wheel drive,TRUE,23,Gasoline,33,Manual transmission,Volkswagen,2011,170,177
Front-wheel drive,TRUE,24,Gasoline,34,Manual transmission,Volkswagen,2011,115,125
Front-wheel drive,TRUE,26,Gasoline,35,Manual transmission,Toyota,2010,132,128
Front-wheel drive,TRUE,26,Gasoline,34,Automatic transmission,Toyota,2010,132,128
Front-wheel drive,TRUE,26,Gasoline,35,Manual transmission,Toyota,2010,132,128
Front-wheel drive,TRUE,26,Gasoline,34,Automatic transmission,Toyota,2010,132,128
Front-wheel drive,TRUE,26,Gasoline,34,Automatic transmission,Toyota,2010,132,128
Front-wheel drive,TRUE,26,Gasoline,34,Automatic transmission,Toyota,2010,132,128
Front-wheel drive,TRUE,22,Gasoline,30,Manual transmission,Toyota,2010,158,162
Front-wheel drive,TRUE,22,Gasoline,30,Automatic transmission,Toyota,2010,158,162
Rear-wheel drive,TRUE,17,Gasoline,22,Automatic transmission,Toyota,2011,260,271
Four-wheel drive,TRUE,15,Gasoline,20,Manual transmission,Toyota,2011,260,271
Four-wheel drive,TRUE,17,Gasoline,21,Automatic transmission,Toyota,2011,260,271
All-wheel drive,TRUE,19,Gasoline,28,Automatic transmission,Audi,2012,310,325
All-wheel drive,TRUE,18,Gasoline,26,Automatic transmission,Audi,2011,300,310
Front-wheel drive,TRUE,23,Gasoline,30,Automatic transmission,Volkswagen,2010,170,177
Front-wheel drive,TRUE,23,Gasoline,30,Automatic transmission,Volkswagen,2010,170,177
Front-wheel drive,TRUE,23,Gasoline,30,Automatic transmission,Volkswagen,2010,170,177
Front-wheel drive,TRUE,22,Gasoline,30,Manual transmission,Volkswagen,2010,170,177
Front-wheel drive,TRUE,22,Gasoline,30,Manual transmission,Volkswagen,2010,170,177
Front-wheel drive,TRUE,23,Gasoline,30,Automatic transmission,Volkswagen,2010,170,177
Front-wheel drive,TRUE,23,Gasoline,30,Automatic transmission,Volkswagen,2010,170,177
Front-wheel drive,TRUE,22,Gasoline,30,Manual transmission,Volkswagen,2010,170,177
Front-wheel drive,TRUE,23,Gasoline,30,Automatic transmission,Volkswagen,2010,170,177
Front-wheel drive,TRUE,22,Gasoline,30,Manual transmission,Volkswagen,2010,170,177
Front-wheel drive,TRUE,22,Gasoline,30,Manual transmission,Volkswagen,2010,170,177
Front-wheel drive,TRUE,21,Gasoline,31,Manual transmission,Volkswagen,2010,200,207
Front-wheel drive,TRUE,21,Gasoline,31,Manual transmission,Volkswagen,2010,200,207
